,CITY,RANK,STATE,POPULATION,SEXRATIO,LITERACY
45,Mangalore,91,Karnataka,488968.0,1016.0,93.72
46,Jamnagar,93,Gujarat,479920.0,928.0,82.14
47,Malegaon,95,Maharashtra,471312.0,973.0,87.61
48,Ambattur,97,Tamil Nadu,466205.0,985.0,92.19
49,Udaipur,99,Rajasthan,451100.0,928.0,89.66
50,Tiruppur,101,Tamil Nadu,444352.0,955.0,87.81
51,Kozhikode,103,Kerala,431560.0,1093.0,96.53
52,Akola,105,Maharashtra,425817.0,959.0,91.91
53,Bokaro Steel,107,Jharkhand,414820.0,889.0,83.47
54,Patiala,109,Punjab,406192.0,884.0,85.78
55,Rajarhat Gopalpur,111,West Bengal,402844.0,976.0,89.69
56,Agartala,113,Tripura,400004.0,999.0,94.45
57,Bhatpara,115,West Bengal,383762.0,887.0,84.74
58,Panihati,117,West Bengal,377347.0,992.0,91.92
59,Rohtak,119,Haryana,374292.0,888.0,85.7
60,Bhilwara,121,Rajasthan,359483.0,922.0,82.2
61,Muzaffarpur,123,Bihar,354462.0,890.0,83.07
62,Mathura,125,Uttar Pradesh,349909.0,881.0,74.97
63,Avadi,127,Tamil Nadu,345996.0,970.0,91.28
64,Rajahmundry,129,Andhra Pradesh,341831.0,1026.0,84.12
65,Kamarhati,131,West Bengal,330211.0,939.0,87.67
66,Bijapur,133,Karnataka,327427.0,982.0,83.21
67,Shimoga,135,Karnataka,322650.0,991.0,87.78
68,Junagadh,137,Gujarat,319462.0,955.0,88.0
69,Alwar,139,Rajasthan,315379.0,891.0,85.95
70,Kulti,141,West Bengal,313809.0,923.0,75.41
71,Nizamabad,143,Andhra Pradesh,311152.0,1008.0,78.52
72,Tumkur,145,Karnataka,302143.0,976.0,88.91
73,Ozhukarai,147,Puducherry,300104.0,1021.0,89.35
74,Darbhanga,149,Bihar,296039.0,902.0,79.4
75,Aizawl,151,Mizoram,293416.0,1025.0,98.36
76,Dewas,153,Madhya Pradesh,289550.0,929.0,84.64
77,Ichalkaranji,155,Maharashtra,287353.0,926.0,85.98
78,Bathinda,157,Punjab,285788.0,886.0,81.66
79,Kirari Suleman Nagar,159,Delhi,283211.0,859.0,79.94
80,Satna,161,Madhya Pradesh,280222.0,895.0,84.8
81,Barasat,163,West Bengal,278435.0,977.0,89.62
82,Farrukhabad and Fatehgarh,165,Uttar Pradesh,276581.0,899.0,73.44
83,Raurkela,167,Orissa,272721.0,888.0,86.98
84,Imphal,169,Manipur,268243.0,1052.0,90.8
85,Hapur,171,Uttar Pradesh,262983.0,885.0,74.03
86,Karimnagar,173,Andhra Pradesh,261185.0,981.0,85.82
87,NDMC,175,Delhi,257803.0,838.0,89.83
88,Ambernath,177,Maharashtra,253475.0,912.0,87.22
89,Begusarai,179,Bihar,252008.0,885.0,76.48
90,North Dum Dum,181,West Bengal,249142.0,973.0,91.0
91,Baranagar,183,West Bengal,245213.0,943.0,91.41
92,Thoothukkudi,185,Tamil Nadu,237830.0,1010.0,93.69
93,Rewa,187,Madhya Pradesh,235654.0,900.0,86.31
94,Raichur,189,Karnataka,234073.0,989.0,77.65
95,Ramagundam,191,Andhra Pradesh,229644.0,967.0,74.95
96,Vizianagaram,193,Andhra Pradesh,228025.0,1037.0,81.04
97,Nagercoil,195,Tamil Nadu,224849.0,1045.0,94.99
98,Karawal Nagar,197,Delhi,224281.0,870.0,84.01
99,Thanjavur,199,Tamil Nadu,222943.0,1042.0,91.27
100,Uluberia,201,West Bengal,222240.0,951.0,80.03
101,Sambhal,203,Uttar Pradesh,220813.0,907.0,48.28
102,Nadiad,205,Gujarat,218095.0,942.0,86.78
103,Naihati,207,West Bengal,217900.0,984.0,87.51
104,Bidhan Nagar,209,West Bengal,215514.0,977.0,89.14
105,Bidar,211,Karnataka,214373.0,938.0,85.9
106,Panchkula,213,Haryana,211355.0,892.0,85.96
107,Raurkela Industrial Township,215,Orissa,210317.0,924.0,85.47
108,Dindigul,217,Tamil Nadu,207327.0,1012.0,90.22
109,Gandhinagar,219,Gujarat,206167.0,918.0,91.01
110,English Bazar,221,West Bengal,205521.0,924.0,86.46
111,Eluru,223,Andhra Pradesh,203780.0,1028.0,83.9
112,Chapra,225,Bihar,202352.0,900.0,78.47
113,Khandwa,227,Madhya Pradesh,200738.0,951.0,86.14
114,Nandyal,229,Andhra Pradesh,200516.0,995.0,76.21
115,Amroha,231,Uttar Pradesh,198471.0,925.0,62.36
116,Bhind,233,Madhya Pradesh,197585.0,875.0,82.99
117,Madhyamgram,235,West Bengal,196127.0,984.0,89.6
118,Navi Mumbai Panvel Raigad,237,Maharashtra,195373.0,820.0,89.1
119,Ambala,239,Haryana,195153.0,902.0,87.35
120,Fatehpur,241,Uttar Pradesh,193193.0,908.0,76.48
121,Khora,243,Uttar Pradesh,190005.0,852.0,83.44
122,Orai,245,Uttar Pradesh,187137.0,882.0,81.8
123,Vellore,247,Tamil Nadu,185803.0,1034.0,86.4
124,Khammam,249,Andhra Pradesh,184210.0,1026.0,83.73
125,Raiganj,251,West Bengal,183612.0,905.0,81.7
126,Dinapur Nizamat,253,Bihar,182429.0,883.0,77.01
127,Sultan Pur Majra,255,Delhi,181554.0,897.0,79.33
128,Jaunpur,257,Uttar Pradesh,180362.0,925.0,81.22
129,Shivpuri,259,Madhya Pradesh,179977.0,892.0,77.84
130,Unnao,261,Uttar Pradesh,177658.0,910.0,81.71
131,Sitapur,263,Uttar Pradesh,177234.0,912.0,80.57
132,Tambaram,265,Tamil Nadu,174787.0,963.0,92.23
133,Badalapur,267,Maharashtra,174226.0,928.0,91.72
134,Cuddalore,269,Tamil Nadu,173636.0,1026.0,87.71
135,Gadag and Betigeri,271,Karnataka,172612.0,1009.0,85.39
136,Machilipatnam,273,Andhra Pradesh,169892.0,1032.0,82.43
137,Medinipur,275,West Bengal,169264.0,992.0,88.99
138,Bharuch,277,Gujarat,169007.0,947.0,87.27
139,Jind,279,Haryana,167592.0,878.0,82.5
140,Adoni,281,Andhra Pradesh,166344.0,1017.0,65.94
141,Faizabad,283,Uttar Pradesh,165228.0,930.0,84.03
142,Alandur,285,Tamil Nadu,164430.0,997.0,94.46
143,Vapi,287,Gujarat,163630.0,739.0,89.0
144,Proddatur,289,Andhra Pradesh,162717.0,1003.0,77.67
145,Budaun,291,Uttar Pradesh,159285.0,915.0,70.56
146,Mahbubnagar,293,Andhra Pradesh,157733.0,992.0,83.96
147,Batala,295,Punjab,156619.0,896.0,84.91
148,Haldwani and Kathgodam,297,Uttarakhand,156078.0,904.0,80.77
149,Thanesar,299,Haryana,155152.0,847.0,85.09
150,Dallo Pura,301,Delhi,154791.0,905.0,83.15
151,Banda,303,Uttar Pradesh,154428.0,881.0,82.05
152,Krishnanagar,305,West Bengal,153062.0,984.0,90.36
153,Lakhimpur,307,Uttar Pradesh,151993.0,888.0,83.1
154,Porbandar,309,Gujarat,151770.0,943.0,85.76
155,Balurghat,311,West Bengal,151416.0,998.0,91.18
